knn_T=0_D=10_K=20,tsvs/and/200.tsv,3.742930591,11.56812339
knn_T=0_D=10_K=30,tsvs/and/200.tsv,3.727506427,10.02570694
knn_T=0_D=20_K=20,tsvs/and/200.tsv,3.827763496,11.8251928
knn_T=0_D=20_K=30,tsvs/and/200.tsv,3.832904884,10.28277635
knn_T=5_D=10_K=20,tsvs/and/200.tsv,4.519280206,8.997429306
knn_T=5_D=10_K=30,tsvs/and/200.tsv,4.673521851,6.940874036
knn_T=5_D=20_K=20,tsvs/and/200.tsv,4.804627249,7.455012853
knn_T=5_D=20_K=30,tsvs/and/200.tsv,4.922879177,7.969151671
tsvlp_G=0.3_E=0.3_L=5_D=0.3,tsvs/and/200.tsv,4.888349515,9.223300971
tsvlp_G=0.3_E=0.3_L=5_D=0.6,tsvs/and/200.tsv,5.103559871,7.1197411
tsvlp_G=0.3_E=0.3_L=15_D=0.3,tsvs/and/200.tsv,9.263754045,2.427184466
tsvlp_G=0.3_E=0.3_L=15_D=0.6,tsvs/and/200.tsv,10.63592233,0.970873786
tsvlp_G=0.3_E=0.6_L=5_D=0.3,tsvs/and/200.tsv,7.088996764,35.27508091
tsvlp_G=0.3_E=0.6_L=5_D=0.6,tsvs/and/200.tsv,7.435275081,36.56957929
tsvlp_G=0.3_E=0.6_L=15_D=0.3,tsvs/and/200.tsv,7.443365696,2.750809061
tsvlp_G=0.3_E=0.6_L=15_D=0.6,tsvs/and/200.tsv,4.778317152,9.223300971
tsvlp_G=0.6_E=0.3_L=5_D=0.3,tsvs/and/200.tsv,4.810679612,8.57605178
tsvlp_G=0.6_E=0.3_L=5_D=0.6,tsvs/and/200.tsv,5.208737864,14.88673139
tsvlp_G=0.6_E=0.3_L=15_D=0.3,tsvs/and/200.tsv,4.474110032,2.750809061
tsvlp_G=0.6_E=0.3_L=15_D=0.6,tsvs/and/200.tsv,7.430420712,0.970873786
tsvlp_G=0.6_E=0.6_L=5_D=0.3,tsvs/and/200.tsv,7.045307443,9.546925566
tsvlp_G=0.6_E=0.6_L=5_D=0.6,tsvs/and/200.tsv,8.462783172,42.7184466
